"","symbol","date","open","close"
"8036","LTC","2014-01-01",24.35,24.62
"8037","LTC","2014-01-02",24.7,25.76
"8038","LTC","2014-01-03",25.67,24.82
"8039","LTC","2014-01-04",24.81,25.11
"8040","LTC","2014-01-05",25.04,26.83
"8041","LTC","2014-01-06",26.91,29.22
"8042","LTC","2014-01-07",29.24,23.25
"8043","LTC","2014-01-08",22.84,24.39
"8044","LTC","2014-01-09",24.49,24.43
"8045","LTC","2014-01-10",24.45,24.93
"8046","LTC","2014-01-11",24.99,26.79
"8047","LTC","2014-01-12",27.05,25.09
"8048","LTC","2014-01-13",25.13,24.27
"8049","LTC","2014-01-14",24.28,24.1
"8050","LTC","2014-01-15",24.1,25.22
"8051","LTC","2014-01-16",25.27,24.46
"8052","LTC","2014-01-17",24.4,23.71
"8053","LTC","2014-01-18",23.81,24.55
"8054","LTC","2014-01-19",24.56,25.44
"8055","LTC","2014-01-20",25.43,25.2
"8056","LTC","2014-01-21",25.2,24.73
"8057","LTC","2014-01-22",24.85,23.65
"8058","LTC","2014-01-23",23.65,22.38
"8059","LTC","2014-01-24",22.3,20.72
"8060","LTC","2014-01-25",20.7,23.08
"8061","LTC","2014-01-26",23.2,24.12
"8062","LTC","2014-01-27",24.13,20.02
"8063","LTC","2014-01-28",20.12,21.55
"8064","LTC","2014-01-29",21.42,21.92
"8065","LTC","2014-01-30",21.91,21.69
"8066","LTC","2014-01-31",21.65,22.13
"8067","LTC","2014-02-01",22.1,22.47
"8068","LTC","2014-02-02",22.5,22.4
"8069","LTC","2014-02-03",22.37,21.91
"8070","LTC","2014-02-04",21.9,21.46
"8071","LTC","2014-02-05",21.53,20.78
"8072","LTC","2014-02-06",20.86,19.91
"8073","LTC","2014-02-07",19.9,18.54
"8074","LTC","2014-02-08",18.53,18.08
"8075","LTC","2014-02-09",18.02,18.22
"8076","LTC","2014-02-10",18.3,17.74
"8077","LTC","2014-02-11",17.76,17.46
"8078","LTC","2014-02-12",17.41,16.95
"8079","LTC","2014-02-13",16.93,15.29
"8080","LTC","2014-02-14",15.37,16.41
