"","symbol","date","open","close"
"4134","ETH","2016-01-01",0.933712,0.948024
"4135","ETH","2016-01-02",0.947401,0.937124
"4136","ETH","2016-01-03",0.93843,0.971905
"4137","ETH","2016-01-04",0.972045,0.95448
"4138","ETH","2016-01-05",0.953147,0.950176
"4139","ETH","2016-01-06",0.950028,0.95086
"4140","ETH","2016-01-07",0.955801,0.942005
"4141","ETH","2016-01-08",0.942752,0.986789
"4142","ETH","2016-01-09",0.985501,0.986833
"4143","ETH","2016-01-10",0.985557,0.999231
"4144","ETH","2016-01-11",0.999216,1.06
"4145","ETH","2016-01-12",1.07,1.14
"4146","ETH","2016-01-13",1.14,1.13
"4147","ETH","2016-01-14",1.12,1.19
"4148","ETH","2016-01-15",1.18,1.21
"4149","ETH","2016-01-16",1.22,1.22
"4150","ETH","2016-01-17",1.22,1.33
"4151","ETH","2016-01-18",1.33,1.43
"4152","ETH","2016-01-19",1.42,1.37
"4153","ETH","2016-01-20",1.36,1.53
"4154","ETH","2016-01-21",1.53,1.55
"4155","ETH","2016-01-22",1.55,1.5
"4156","ETH","2016-01-23",1.5,1.97
"4157","ETH","2016-01-24",1.9,2.14
"4158","ETH","2016-01-25",2.15,2.5
"4159","ETH","2016-01-26",2.53,2.28
"4160","ETH","2016-01-27",2.25,2.39
"4161","ETH","2016-01-28",2.41,2.53
"4162","ETH","2016-01-29",2.54,2.49
"4163","ETH","2016-01-30",2.51,2.45
"4164","ETH","2016-01-31",2.44,2.31
"4165","ETH","2016-02-01",2.32,2.21
"4166","ETH","2016-02-02",2.22,2.44
"4167","ETH","2016-02-03",2.43,2.53
"4168","ETH","2016-02-04",2.53,2.58
"4169","ETH","2016-02-05",2.57,2.54
"4170","ETH","2016-02-06",2.53,2.53
"4171","ETH","2016-02-07",2.54,2.96
"4172","ETH","2016-02-08",2.97,3.18
"4173","ETH","2016-02-09",3.17,4.04
"4174","ETH","2016-02-10",4,4.44
"4175","ETH","2016-02-11",4.5,6.01
"4176","ETH","2016-02-12",5.95,5.55
"4177","ETH","2016-02-13",5.69,5.39
"4178","ETH","2016-02-14",5.4,5.24
"4179","ETH","2016-02-15",5.33,5.29
"4180","ETH","2016-02-16",5.33,4.32
"4181","ETH","2016-02-17",4.29,3.76
"4182","ETH","2016-02-18",3.77,4.4
"4183","ETH","2016-02-19",4.38,4.74
"4184","ETH","2016-02-20",4.68,4.34
"4185","ETH","2016-02-21",4.36,4.65
"4186","ETH","2016-02-22",4.66,5.62
"4187","ETH","2016-02-23",5.68,5.59
"4188","ETH","2016-02-24",5.6,6.24
"4189","ETH","2016-02-25",6.19,6.1
"4190","ETH","2016-02-26",6.04,5.92
"4191","ETH","2016-02-27",5.96,6.43
"4192","ETH","2016-02-28",6.41,6.47
"4193","ETH","2016-02-29",6.46,6.34
"4194","ETH","2016-03-01",6.32,7.65
"4195","ETH","2016-03-02",7.63,8.47
"4196","ETH","2016-03-03",8.44,9.29
"4197","ETH","2016-03-04",9.24,10.41
"4198","ETH","2016-03-05",10.37,11
"4199","ETH","2016-03-06",11.2,11.38
"4200","ETH","2016-03-07",11.43,9.55
"4201","ETH","2016-03-08",9.58,9.85
"4202","ETH","2016-03-09",9.79,11.9
"4203","ETH","2016-03-10",11.88,11.31
"4204","ETH","2016-03-11",11.22,11.08
"4205","ETH","2016-03-12",11.13,13.53
"4206","ETH","2016-03-13",13.51,14.48
"4207","ETH","2016-03-14",14.51,12.45
"4208","ETH","2016-03-15",13,13.01
"4209","ETH","2016-03-16",13.02,12.52
"4210","ETH","2016-03-17",12.56,11.08
"4211","ETH","2016-03-18",11.11,11
"4212","ETH","2016-03-19",11.2,10.53
"4213","ETH","2016-03-20",10.52,10.32
"4214","ETH","2016-03-21",10.3,11.86
"4215","ETH","2016-03-22",11.88,11.27
